,Year,bResult,rResult,gamelength
473,2016,0,1,33
474,2016,1,0,46
475,2016,1,0,28
476,2016,1,0,36
477,2016,1,0,32
478,2016,0,1,36
479,2016,1,0,32
480,2016,1,0,40
481,2016,1,0,40
482,2016,1,0,32
483,2016,0,1,38
484,2016,1,0,29
485,2016,0,1,38
486,2016,0,1,62
487,2016,1,0,31
488,2016,0,1,28
489,2016,0,1,30
490,2016,0,1,34
491,2016,0,1,30
492,2016,1,0,40
493,2016,1,0,26
494,2016,0,1,41
495,2016,0,1,38
496,2016,1,0,34
497,2016,1,0,28
498,2016,0,1,21
499,2016,0,1,46
500,2016,0,1,35
501,2016,1,0,27
502,2016,1,0,34
503,2016,0,1,35
504,2016,1,0,57
505,2016,1,0,36
506,2016,0,1,37
507,2016,0,1,36
508,2016,0,1,32
509,2016,1,0,41
510,2016,1,0,26
511,2016,1,0,28
512,2016,0,1,31
513,2016,0,1,29
514,2016,1,0,28
515,2016,1,0,43
516,2016,0,1,29
517,2016,0,1,43
518,2016,1,0,35
519,2016,0,1,34
520,2016,1,0,22
521,2016,1,0,28
522,2016,0,1,30
523,2016,0,1,37
524,2016,1,0,28
525,2016,0,1,39
526,2016,1,0,34
527,2016,0,1,55
528,2016,0,1,39
529,2016,1,0,48
530,2016,1,0,28
531,2016,1,0,36
532,2016,1,0,44
533,2016,1,0,43
534,2016,0,1,36
535,2016,1,0,28
536,2016,1,0,27
537,2016,1,0,30
538,2016,0,1,31
539,2016,1,0,36
540,2016,1,0,36
541,2016,1,0,33
542,2016,1,0,38
543,2016,1,0,39
544,2016,1,0,26
545,2016,0,1,26
546,2016,1,0,52
547,2016,1,0,37
548,2016,0,1,41
549,2016,1,0,34
550,2016,0,1,31
551,2016,1,0,26
552,2016,1,0,35
553,2016,0,1,31
554,2016,1,0,30
555,2016,1,0,29
556,2016,0,1,32
557,2016,1,0,38
558,2016,0,1,35
559,2016,0,1,33
560,2016,1,0,31
561,2016,1,0,25
562,2016,1,0,44
563,2016,0,1,44
564,2016,1,0,30
565,2016,0,1,44
566,2016,1,0,33
567,2016,0,1,29
568,2016,1,0,31
569,2016,1,0,44
570,2016,1,0,29
571,2016,1,0,42
572,2016,1,0,35
573,2016,1,0,47
