,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,min_13,min_14,min_15,min_16,min_17,min_18,min_19,min_20,min_21,min_22,min_23,min_24,min_25,min_26,min_27,min_28,min_29,min_30,min_31,min_32,min_33,min_34,min_35,min_36,min_37,min_38,min_39,min_40,min_41,min_42,min_43,min_44,min_45,min_46,min_47,min_48,min_49,min_50,min_51,min_52,min_53,min_54,min_55,min_56,min_57,min_58,min_59,min_60,min_61,min_62,min_63,min_64,min_65,min_66,min_67,min_68,min_69,min_70,min_71,min_72,min_73,min_74,min_75,min_76,min_77,min_78,min_79,min_80,min_81,min_82,min_83,min_84,min_85,min_86,min_87,min_88,min_89,min_90,min_91,min_92,min_93,min_94,min_95
1811,0,0,-45,-27,260,-8,-4,747,458,627,49,-160,-1814,-1854,-2435,-2006,-2098,-1990.0,-2921.0,-3870.0,-3614.0,-3806.0,-3963.0,-4024.0,-3755.0,-4063.0,-3764.0,-4084.0,-3645.0,-4539.0,-2720.0,-3159.0,187.0,1968.0,3475.0,8015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,0,-510,-508,-813,-519,-750,-1174,-1492,-1305,-1848,-3543,-3254,-3685,-4835,-6167,-6319,-6998,-7361.0,-7316.0,-7121.0,-8497.0,-8233.0,-8923.0,-10096.0,-10315.0,-11326.0,-12183.0,-11670.0,-10438.0,-10568.0,-10299.0,-10553.0,-10318.0,-11036.0,-11698.0,-11488.0,-14444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,0,0,-22,14,77,-296,-185,-71,13,369,630,215,1533,1886,2402,2024,2379,2825.0,3257.0,3386.0,3825.0,4459.0,3634.0,4587.0,4664.0,4853.0,5434.0,5355.0,6147.0,7581.0,7864.0,8994.0,11427.0,11080.0,11854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,0,0,158,134,-334,-115,-108,469,433,529,838,974,1614,2486,1987,1086,1588,1027.0,1015.0,1001.0,1652.0,249.0,-199.0,-436.0,99.0,187.0,340.0,-960.0,-1779.0,-2353.0,-4540.0,-4082.0,-4362.0,-4655.0,-4821.0,-4830.0,-4860.0,-7071.0,-9150.0,-11360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,0,0,-121,-234,-241,-163,-184,-154,776,271,207,741,745,510,1482,1157,-82,-488.0,829.0,575.0,861.0,1089.0,2365.0,2214.0,3249.0,2915.0,3985.0,4088.0,4634.0,5453.0,5714.0,8142.0,10209.0,11855.0,11499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,0,0,82,173,-413,-376,-480,-525,-714,-666,-1035,-758,-763,-2140,-2231,-4727,-6024,-5957.0,-6599.0,-7909.0,-8592.0,-8200.0,-9528.0,-9925.0,-11123.0,-15017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,0,0,19,191,-85,385,258,885,764,685,115,349,466,655,313,2961,2566,4773.0,5030.0,4801.0,6208.0,6770.0,7067.0,7221.0,7367.0,7792.0,9465.0,10637.0,13869.0,14936.0,16847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,0,0,-74,-60,103,-98,215,-424,37,546,654,221,409,422,214,1043,1587,1993.0,2152.0,2601.0,2245.0,1862.0,1964.0,1682.0,1995.0,2045.0,2151.0,2149.0,654.0,-1849.0,-1977.0,-3379.0,-5332.0,-5701.0,-5738.0,-6144.0,-8201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,0,-499,-565,-553,-787,-1462,-1924,-2192,-2278,-2536,-2645,-4145,-4637,-4304,-4632,-4546,-5304,-5543.0,-6640.0,-6418.0,-6494.0,-6464.0,-6748.0,-7359.0,-8887.0,-12017.0,-12844.0,-14123.0,-15151.0,-16881.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,0,0,106,-36,-535,75,38,-147,38,-391,-575,-1793,-1148,-859,-780,-2207,-2899,-4662.0,-4175.0,-5532.0,-6043.0,-6265.0,-3822.0,-2708.0,-3204.0,-3501.0,-4387.0,-3742.0,-3248.0,-3371.0,-3879.0,-996.0,219.0,890.0,957.0,1175.0,1452.0,2396.0,1158.0,851.0,-165.0,-250.0,-71.0,-3085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,0,-8,-28,-292,-124,-80,-109,-445,-492,-141,-138,-602,-1103,-1914,-2898,-3182,-3526,-5246.0,-5261.0,-4791.0,-4803.0,-5287.0,-5706.0,-6631.0,-6143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,0,0,37,47,-584,-199,-197,247,423,676,459,1223,192,576,178,-66,-840,-120.0,50.0,1428.0,2370.0,2605.0,3241.0,3847.0,3633.0,3830.0,4759.0,5981.0,6595.0,8557.0,8556.0,9247.0,8759.0,8865.0,7598.0,9278.0,9086.0,7265.0,5086.0,3119.0,1836.0,823.0,260.0,115.0,1912.0,1808.0,1395.0,1512.0,251.0,449.0,3185.0,2960.0,2896.0,2977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,0,-516,-538,-544,-604,-983,-946,-729,-1053,-1649,-1596,257,-775,-99,-398,-339,-566,-1931.0,-2425.0,-3437.0,-3288.0,-3712.0,-5928.0,-6454.0,-8388.0,-9982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,0,0,58,-48,-112,163,251,-569,-372,-241,-758,-597,-309,-383,372,1049,1755,3301.0,3454.0,3430.0,2065.0,1803.0,2599.0,716.0,274.0,612.0,530.0,464.0,1369.0,1221.0,1371.0,1788.0,1898.0,6296.0,8400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,0,0,60,-200,-137,-162,-98,143,110,387,236,504,-20,-830,-113,316,-38,421.0,2277.0,1229.0,762.0,448.0,1279.0,892.0,2267.0,3562.0,3234.0,2962.0,4401.0,7052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,0,0,-76,112,64,344,845,1051,432,1130,1009,375,411,699,372,129,460,1539.0,263.0,692.0,1873.0,2305.0,2525.0,1440.0,20.0,-3016.0,-3205.0,-4289.0,-5245.0,-5596.0,-5638.0,-5040.0,-5264.0,-4810.0,-6450.0,-4563.0,-5256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,0,24,479,371,562,325,644,541,544,854,807,2084,3029,2974,3379,3457,4375,5122.0,4893.0,5151.0,5624.0,6011.0,5286.0,5366.0,5616.0,5139.0,5605.0,5863.0,7766.0,7812.0,8073.0,8120.0,8144.0,7420.0,7070.0,7932.0,9075.0,11619.0,11961.0,15976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,0,500,584,686,847,1064,1834,1587,1675,1613,1507,1796,2294,2359,1751,3723,3725,5021.0,5262.0,5117.0,5431.0,5339.0,5817.0,5834.0,5687.0,5812.0,7250.0,9730.0,10484.0,13054.0,15443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,0,0,7,331,222,122,195,973,2020,2351,1564,1687,1698,2392,2481,2660,3182,3412.0,4518.0,5582.0,5689.0,4665.0,4276.0,3980.0,4264.0,4122.0,4222.0,4203.0,3937.0,4481.0,4753.0,5104.0,5173.0,3119.0,987.0,806.0,760.0,437.0,43.0,336.0,-96.0,-846.0,-1092.0,-5663.0,-4790.0,-5496.0,-5148.0,-5909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,0,0,158,164,318,504,-405,-263,-151,-217,-230,12,2008,1968,2328,1944,2295,3834.0,3565.0,4109.0,4150.0,4950.0,5063.0,5990.0,6588.0,6777.0,10025.0,9816.0,10912.0,13000.0,16186.0,16290.0,17945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,0,0,-10,275,329,-908,-802,-1441,-1513,-1593,-2178,-1790,-1722,-1970,-2129,-2243,-2987,-3038.0,-2968.0,-1970.0,-2751.0,-3040.0,-2437.0,-1840.0,-1404.0,-1256.0,-920.0,-590.0,-948.0,-972.0,2411.0,3873.0,6814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
